1,History Essay,History,Write 5-page essay on WW2,2026-05-20,4,IN_PROGRESS
2,Physics Lab Report,Physics,Document experiment results,2026-05-14,5,PENDING
3,English Reading,English,Read chapters 10-15,2026-05-27,2,PENDING
4,Chemistry Problem Set,Chemistry,Complete problem set 4,2026-05-15,4,IN_PROGRESS
5,CS Assignment,Computer Science,Implement binary search tree,2026-05-18,5,PENDING
6,Art Portfolio,Art,Compile semester artwork,2026-06-12,3,IN_PROGRESS
7,PE Reflection,PE,Write sports reflection,2026-05-23,1,PENDING
8,Economics Quiz Prep,Economics,Study supply and demand,2026-05-17,3,PENDING
9,Biology Diagrams,Biology,Label cell diagrams,2026-05-19,4,COMPLETED
10,Philosophy Reading,Philosophy,N/A,,2,PENDING
11,Music Practice,Music,N/A,,3,IN_PROGRESS
12,Statistics Homework,Math,Complete exercises 3.1-3.5,2026-05-21,,PENDING
13,Geography Map Work,Geography,Label world map,2026-06-02,,IN_PROGRESS
14,Drama Script,Drama,Memorize act 2 lines,2026-05-25,4,PENDING
15,Psychology Case Study,Psychology,Analyze provided case,2026-05-22,5,IN_PROGRESS
16,Literature Review,English,Compare two novels,2026-05-28,3,PENDING
17,Calculus Practice,Math,N/A,,,PENDING
18,Spanish Oral Prep,Spanish,N/A,,,IN_PROGRESS
19,Overdue Task,Math,This deadline has passed,2026-05-11,5,PENDING
